slot,artifact_name,artifact_path,status,json_error,size_bytes,top_level_keys
lora,lora_rank_padding_experiments,outputs/lora_rank_padding_experiments.json,present,,6860,config|dummy_rank_strategy|limitations|lora_config_fingerprint|lora_hidden_rank_status|lora_padded_rank_visible|lora_rank_padding_status|lora_true_rank_hidden_from_shape|next_stage_plan|optimizer_handling|rank_padding_correctness|security_profile|security_profile_detail_with_lora_rank_padding|shape_level_rank_hiding
lora,lora_rank_security_proxy,outputs/lora_rank_security_proxy.json,present,,9904,config|gradient_rank_inference|interpretation|limitations|lora_rank_security_proxy_status|membership_style_linkability|next_stage_plan|scope|security_profile|security_profile_detail_with_lora_rank_padding|shape_level_rank_leakage|spectral_rank_inference
lora,multilayer_lora_training_experiments,outputs/multilayer_lora_training_experiments.json,present,,19518,config|limitations|lora_multilayer_training_status|model_spec|next_stage_plan|optimizer_summary|per_layer_metrics|rank_padding_summary|security_profile|security_profile_detail_with_lora_multilayer|training_correctness
lora,multilayer_lora_security_proxy,outputs/multilayer_lora_security_proxy.json,present,,12542,config|cross_layer_adapter_linkage|heterogeneous_true_rank_with_shared_padded_rank|interpretation|limitations|lora_multilayer_security_proxy_status|multi_step_membership_linkability|next_stage_plan|scope|security_profile|security_profile_detail_with_lora_multilayer
lora,lora_training_timing_proxy,outputs/lora_training_timing_proxy.json,present,,8404,config|constant_time_training_proxy|interpretation|leakage_tasks_off|leakage_tasks_proxy_equalized|limitations|lora_training_timing_proxy_status|next_stage_plan|overhead_proxy|scope|security_profile|security_profile_detail_with_lora_timing|summary|training_timing_model
lora,lora_stronger_dummy_experiments,outputs/lora_stronger_dummy_experiments.json,present,,37062,config|limitations|lora_config_fingerprint|lora_spectral_rank_hardening_status|lora_stronger_dummy_status|next_stage_plan|per_strategy|security_profile|security_profile_detail_with_lora_dummy_hardening|stronger_dummy_strategy_design
lora,lora_stronger_dummy_security_proxy,outputs/lora_stronger_dummy_security_proxy.json,present,,26893,config|cross_layer_linkage|dummy_strategy_classification|gradient_rank_inference|interpretation|limitations|lora_spectral_rank_hardening_status|lora_stronger_dummy_security_status|next_stage_plan|scope|security_profile|security_profile_detail_with_lora_dummy_hardening|spectral_rank_inference
cpu_paper,paper_toy_tasks,outputs/paper_toy_tasks.json,present,,17026,config|is_gpu_throughput|is_real_tee_wall_time|limitations|paper_toy_tasks_status|rows|security_profile|stage|wall_time_source
cpu_paper,paper_baseline_comparison,outputs/paper_baseline_comparison.json,present,,6369,config|is_gpu_throughput|is_real_tee_wall_time|limitations|paper_baseline_comparison_status|risk_level_derivation|rows|security_profile|stage|wall_time_source
cpu_paper,paper_ablation_study,outputs/paper_ablation_study.json,present,,6881,config|is_gpu_throughput|is_real_tee_wall_time|limitations|paper_ablation_study_status|risk_level_derivation|rows|security_profile|stage|wall_time_source
cpu_paper,paper_stability_study,outputs/paper_stability_study.json,present,,1878987,config|is_gpu_throughput|is_real_tee_wall_time|limitations|paper_stability_study_status|security_profile|stage|summary_rows|trial_rows|wall_time_source
cpu_paper,cpu_runtime_completion,outputs/cpu_runtime_completion.json,present,,45897,config|cpu_runtime_completion_status|is_gpu_throughput|is_real_tee_wall_time|limitations|rows|security_profile|stage|wall_time_source
prior_work,direct_prior_work_comparison,outputs/direct_prior_work_comparison.json,present,,16658,config|direct_prior_work_comparison_status|is_gpu_throughput|is_real_tee_wall_time|limitations|rows|security_profile|stage|wall_time_source
prior_work,ours_runtime_api_validation,outputs/ours_runtime_api_validation.json,present,,6075,backend|config|limitations|ours_runtime_api_validation_status|real_gpu_backend_implemented|real_tee_implemented|rows|security_profile|stage|tee_gpu_ready_interface
