risk_id,dimension,severity,priority,location,risky_wording_or_missing,why_reviewer_may_object,recommended_revision,new_experiment_needed,wording_fix_enough
PWR-04,prior_work_comparison_risk,low,P2,sec:eval:rq13 (Result) + tables/direct_prior_work_comparison.tex,"Result paragraph mentions Slalom's 'Freivalds-style randomised verification check' which sounds like a security claim; we should anchor it to integrity, not confidentiality.",A cryptographic reviewer who reads only the Result paragraph may flag this as confusing the integrity property with a privacy property.,Re-word as 'a Freivalds-style randomised integrity check (not a privacy primitive)'.,no,yes
RUN-01,runtime_deployment_risk,high,P0,sec:design:backend (last sentence) + sec:eval:rq14 (Result + Limitation),"'the interface is backend-ready, not backend-deployed' / 'tee_gpu_ready_interface=True means the protocol logic is backend-agnostic; it does NOT mean hardware isolation has been deployed.' Wording is correct, but the *name* 'tee_gpu_ready_interface' invites confusion.",A skim reviewer who reads only a table cell labelled 'tee_gpu_ready_interface = True' may conclude TEE / GPU deployment has happened.,Rename in *prose* to 'backend-agnostic interface flag' or 'interface-ready flag' in every sentence referencing it; keep the raw artifact key in the table caption with an explicit gloss: 'tee_gpu_ready_interface = True means the protocol logic is backend-agnostic; no TEE or GPU has been deployed in this artifact.' Optionally rename the column in the rendered table as a P1 follow-up.,no,yes
RUN-02,runtime_deployment_risk,high,P0,sec:eval:rq7 (Result) + tables/measured_runtime.tex + figures/measured_runtime_summary.png caption,"RQ7 reports 'Mean times: plain_synthetic_linear 0.002 ms, ..., multi_layer_lora_training_step 4.684 ms.' Numbers in ms invite the reading 'these are real-system latencies'.",A reviewer pulled to the runtime table first may assume the numbers are comparable to production deployments.,"Prepend every ms number with 'local-emulation ' in prose; ensure each runtime table / figure caption begins with 'Local-emulation runtime on tiny tiles; not real TEE wall-time, not GPU throughput.' Already partly present; audit for consistency.",no,yes
RUN-03,runtime_deployment_risk,medium,P1,sec:eval:summary (Cross-cutting observations),'so a future TEE or GPU deployment only needs to swap the backend object.' Reads as 'deployment is one engineering step away.',"Reviewer may say 'this trivialises confidential-computing deployment; attestation, sealed memory, page-table side-channels are not just plumbing.'","Soften to 'so the protocol logic does not block a future TEE or GPU deployment; we do not claim that the remaining engineering (attestation, sealed memory, side-channel hardening, multi-tenant isolation) is trivial.'",no,yes
RUN-04,runtime_deployment_risk,medium,P1,docs/runtime_boundary.md sections 4-5,The 'How to plug in a TEE backend' section reads like a how-to. Reviewers may read it as 'they shipped a TEE backend.',Same skim risk as RUN-01.,Prefix the section header with '(future work)' and add a banner sentence at the top: 'No TEE backend exists in this artifact; the snippet below is the contract a future deployment must satisfy.',no,yes
SEC-01,security_claim_risk,high,P0,"sec:security (Transcript obfuscation, Activation recovery and linkability)",Repeated phrase 'Bounded near random chance in our evaluated setting.' / 'keeps the worst-case attacker close to random chance'. The italicised wording 'Bounded' may be read as 'we prove a bound.',Cryptographic reviewer will say 'bounded' implies a proof; you only show empirical accuracy near 0.5.,Replace 'bounded' with 'the measured attacker accuracy stayed close to random chance' or 'did not deviate significantly from random chance in our tests' throughout sec:security.,no,yes
SEC-02,security_claim_risk,medium,P1,"sec:security:adapter, sec:security:gradient",Reports '\Delta\text{AUC} = +0.463' and '+0.478' but the baseline (fixed_masks_fixed_u) is mentioned only once. Reviewer may compute the post-mitigation AUC themselves and dispute the +0.463 phrasing if they cannot quickly find the baseline.,Numbers without their baseline are easy to challenge.,"Add 'AUC reduced from 0.963 to 0.500 (\Delta\text{AUC} = +0.463 vs the fixed_masks_fixed_u baseline)' style absolute numbers, or reference the specific table cell in lora_training_summary.",no,yes
SEC-03,security_claim_risk,medium,P1,sec:security:rank + sec:security:boundary,Claims boundary correctly says 'we do *not* claim ... padded LoRA rank is hidden'. But sec:security:rank uses 'hides the true rank' which is ambiguous: it could be read 'hides rank in general'.,Two adjacent sentences using 'hides' / 'is not hidden' with different subjects can confuse a reviewer in a hurry.,Be uniform: 'Rank padding removes the *true* rank r_true from tensor shape but leaves the *padded* rank r_pad visible.' Use 'removes from shape' rather than 'hides'.,no,yes
SEC-04,security_claim_risk,low,P2,sec:security:timing,"'Risk level: low.' for cost-model timing classifier. 'low' is the safe label, but a reviewer may still read this as 'timing is solved.'",The cost-model proxy is not a side-channel evaluation; saying 'low' invites misreading.,Append 'under our cost-model proxy only; hardware timing side-channels are out of scope' explicitly at the end of sec:security:timing.,no,yes
COR-01,correctness_proof_risk,medium,P1,"sec:correctness (Theorem 7 LoRA masked forward, Theorem 8 LoRA backward)",Theorem 7 statement omits the row-vector convention 'X in R^{T x d_in} acts from the left'. Theorem 8 proof sketch is terse and may not convince a reviewer that the U^{-1} cancellation is total.,Backward-pass identities in masked space are a classical place for sign / transpose errors. Reviewer will want a full derivation.,Add a one-paragraph row-vector convention statement at the top of sec:correctness. Expand Theorem 8 proof to spell out the U^{-1} and N_out^{-1} substitutions explicitly. Cross-reference the artifact row lora_backward_experiments with max-grad-error ~ 1.3e-15.,no,yes
COR-02,correctness_proof_risk,medium,P2,sec:correctness (Theorem 2 pointwise activation permutation island),Theorem 2 covers GELU/ReLU/SiLU pointwise. The 'dense mask does not commute' *counterexample* is mentioned in sec:design but not proved in sec:correctness.,A reviewer may ask 'why a permutation island and not a dense one?' The counterexample is the answer and should appear as a remark or lemma.,"Add a 'Remark (non-commutation under dense masks)' after Theorem 2: for generic dense invertible N and pointwise phi, phi(XN) != phi(X) N. Cite an explicit two-line counterexample (phi = ReLU, N a 2x2 rotation).",no,yes
COR-03,correctness_proof_risk,low,P2,sec:correctness (Theorem 6 attention and KV cache invariant),Theorem 6 covers Q K^T = Q\tilde K\tilde^T. The V mask absorption claim ('absorbed by the trailing output projection') is in the design section but not in the theorem.,Reviewer who only reads the theorems may miss the V mask story.,Promote 'and the V mask N_V is absorbed into the trailing output projection' into Theorem 6's statement.,no,yes
COR-04,correctness_proof_risk,low,P3,sec:correctness (Theorem 9 rank padding factor-product equality),States two cases (A_dummy B_dummy = 0 vs tracked delta) but the proof sketch covers only case 1.,Reviewer may say 'where is the delta-folding proof?',"Add a one-line proof sketch for the tracked-correction case: when A_dummy B_dummy = Delta, A_pad B_pad = A B + Delta; the trusted side subtracts Delta at recovery time, restoring A B.",no,yes
EVA-01,evaluation_sufficiency_risk,high,P0,sec:eval:rq1 / rq5 / rq8 / rq11 + sec:limitations item 5,"Every correctness / LoRA / toy-task / stability RQ uses 'synthetic' or 'tiny-HF' configurations. The paper does name this as a limitation, but the evaluation section reads as 'we evaluated' rather than 'we evaluated on synthetic tiles only'.",Reviewer will say 'this is not a real LLM evaluation.' We cannot add new experiments under Stage 7.6c; we must surface the limitation in every RQ result paragraph rather than only in sec:limitations.,"Append 'on synthetic / tiny-HF configurations only' to the Result line of RQ1, RQ5, RQ8, RQ11 so a reviewer skimming Result paragraphs sees the scope immediately, not only in the Limitation paragraph.",no,yes
EVA-02,evaluation_sufficiency_risk,medium,P1,sec:eval:rq3 (Workload profile),RQ3 names 'tslp_trusted_nonlinear_baseline' and 'amulet_style_reference' as cost-model baselines but uses the word 'amulet_style' which is exactly the vague label the Stage 7.5c spec ruled out.,Stage 7.5c spec forbids 'Amulet-style' phrasing. The RQ3 cost-model table still uses the legacy label.,"Rename 'amulet_style_reference' to 'amulet_static_phq_cost_model' in the narrative paragraph (the artifact key may stay for backward compatibility, but the prose should be precise).",no,yes
EVA-03,evaluation_sufficiency_risk,medium,P1,sec:eval:rq6 (Rank-inference and timing),"Reports four 'high' risk rows (gradient rank inference, stronger-dummy spectral, stronger-dummy gradient) and one 'medium' (dummy-strategy classifier). The Result paragraph states the numbers but does not tie each 'high' to a future-work item.",Reviewer who sees 'high' without a next-step plan may ask 'so why is this a contribution?',After each 'high' or 'medium' status add a sentence: 'This is reported as open; heterogeneous padded rank (sec:conclusion item c) is the proposed follow-up.',no,yes
EVA-04,evaluation_sufficiency_risk,low,P2,sec:eval:rq2 + sec:limitations item 9 (sequence length leak),RQ2 covers KV cache append invariant but does not measure prompt-length leakage in the decode trace.,Reviewer may ask 'what about prompt-length recovery?' We must point to sec:limitations not promise an experiment we did not run.,Append 'we do not measure prompt-length or seq-length recovery; this is explicit in sec:limitations item 9' to RQ2 Limitation paragraph.,no,yes
BAS-01,baseline_fairness_risk,high,P0,sec:eval:rq13 + sec:related,"Ours rows have full_system_reproduced=True; prior-work rows have False. Comparing 'we, full system' to 'prior work, primitive only' is unfair if not framed.",This is the single most likely reject reason from a systems reviewer: 'unfair comparison.',"Add an upfront paragraph to sec:eval:rq13: 'We compare *primitives*. For our scheme the primitive *is* the full generation path; for the prior-work rows the primitive is one of: delegated linear (Slalom), additive sharing (DarKnight), static PHQ (Amulet), polynomial activation skeleton (CryptoNets), or a cost-model row (Gazelle / Delphi / SecureML / MiniONN). Direct runtime / threat-model comparison across rows is not valid; the table reports each row in its own scope.'",no,yes
BAS-02,baseline_fairness_risk,medium,P1,sec:eval:rq13 (Result) + sec:related (FHE and MPC for private inference),"Related work says 'Our approach is complementary, not a replacement.' Good. RQ13 result paragraph could echo this more loudly, especially next to the CryptoNets / Gazelle / Delphi / SecureML / MiniONN rows.",Reviewer may otherwise read the table as 'we beat HE/MPC.',Add one sentence at the end of RQ13 Result: 'Cryptographic baselines provide formal-security guarantees that our scheme does not provide; the comparison is *not* a security ranking.',no,yes
BAS-03,baseline_fairness_risk,medium,P1,sec:eval:rq9 (Baseline comparison),RQ9 compares ten *internal* variants. The word 'baseline' may be misread as 'external system' if the reader is in a hurry.,Reviewer who jumps to RQ9 first may expect Slalom / Amulet rows and not find them; the external comparison is in RQ13.,Rename RQ9 prose 'mitigation-configuration comparison' or 'internal ablation baseline comparison' and add a one-line forward reference: 'External prior-work primitives are compared in RQ13.',no,yes
WRD-01,wording_risk,high,P0,"all sections (automated wording scan, see unsafe_wording_review.md)","Automated scan of the LaTeX body for dangerous words (secure, guarantee, private, protect, hide, outperform, SOTA, TEE-ready, GPU-ready, real-time, production, full system, reproduced).",Any single occurrence outside a 'we do not claim' clause is a quotable overclaim.,See unsafe_wording_review.md for per-occurrence classification (safe / risky / unsafe) and per-occurrence revision suggestion.,no,yes
