op,count,cpu_us_total,cuda_us_total,cpu_us_self,cuda_us_self
nvjet_tst_64x8_64x16_1x4_h_bz_TNT,144,0,586.0,0,586.0
nvjet_tst_64x48_64x15_4x1_v_bz_TNT,96,0,532.2,0,532.2
aten::sub_,337,2352.9,516.1,1148.6,516.1
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",121,0,455.4,0,455.4
aten::bmm,144,2642.8,448.2,2009.6,448.2
nvjet_tst_64x8_64x16_4x2_v_bz_TNT,120,0,443.5,0,443.5
nvjet_tst_64x8_64x16_1x4_h_bz_NNT,120,0,432.2,0,432.2
nvjet_tst_64x24_64x16_4x2_h_bz_splitK_NNT,48,0,407.5,0,407.5
aten::sum,96,1153.4,392.1,757.6,392.1
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::BFloat16> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<c10::BFloat16> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::BFloat16> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<c10::BFloat16> const&)::{lambda(int)#1})",144,0,390.3,0,390.3
"void at::native::vectorized_elementwise_kernel<8, at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul>)",240,0,385.0,0,385.0
nvjet_tst_32x64_64x16_4x1_v_bz_NTN,144,0,378.3,0,378.3
nvjet_tst_64x8_64x16_2x4_v_bz_TNT,96,0,322.3,0,322.3
nvjet_tst_64x32_64x16_1x4_h_bz_NTT,120,0,318.2,0,318.2
"void cublasLt::splitKreduce_kernel<32, 16, int, float, __nv_bfloat16, float, __nv_bfloat16, false, float, __nv_bfloat16, __nv_bfloat16, true, false, false>(cublasLt::cublasSplitKParams<float>, float const*, __nv_bfloat16 const*, float*, __nv_bfloat16*, float const*, float const*, __nv_bfloat16 const*, float const*, __nv_bfloat16*, void*, long, float*, int*, float*, float*, float const*, float const*, float const*, float const*, float const*)",145,0,278.9,0,278.9
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<c10::BFloat16, at::native::func_wrapper_t<c10::BFloat16, at::native::sum_functor<c10::BFloat16, float, c10::BFloat16>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, c10::BFloat16, 4, 4> >(at::native::ReduceOp<c10::BFloat16, at::native::func_wrapper_t<c10::BFloat16, at::native::sum_functor<c10::BFloat16, float, c10::BFloat16>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, c10::BFloat16, 4, 4>)",72,0,274.8,0,274.8
nvjet_tst_64x48_64x15_4x1_v_bz_NNT,48,0,268.1,0,268.1
nvjet_tst_64x8_64x16_1x4_h_bz_splitK_NNT,48,0,266.4,0,266.4
Memcpy DtoH (Device -> Pageable),120,0,249.3,0,249.3
aten::neg,96,1107.5,227.9,681.6,227.9
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::neg_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#9}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::neg_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#9}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::neg_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#9}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::neg_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#9}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int)#1})",96,0,227.9,0,227.9
nvjet_tst_64x24_64x16_4x2_v_bz_splitK_TNT,24,0,216.8,0,216.8
aten::mean,49,822.3,199.0,563.5,199.0
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<c10::BFloat16, at::native::MeanOps<c10::BFloat16, float, float, c10::BFloat16>, unsigned int, c10::BFloat16, 4, 4> >(at::native::ReduceOp<c10::BFloat16, at::native::MeanOps<c10::BFloat16, float, float, c10::BFloat16>, unsigned int, c10::BFloat16, 4, 4>)",49,0,199.0,0,199.0
Memcpy HtoD (Pageable -> Device),122,0,185.2,0,185.2
nvjet_tst_128x48_64x9_2x1_v_bz_splitK_NNT,1,0,170.6,0,170.6
aten::div,97,1247.4,169.8,811.7,169.8
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_nt_align2>(cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_nt_align2::Params),48,0,162.0,0,162.0
nvjet_tst_512x48_64x3_1x1_v_bz_coopA_TNT,1,0,160.9,0,160.9
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_nn_align2>(cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_nn_align2::Params),48,0,146.0,0,146.0
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_tn_align2>(cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_tn_align2::Params),48,0,140.2,0,140.2
nvjet_tst_32x64_64x16_1x4_h_bz_NTN,48,0,138.2,0,138.2
aten::pow,147,2158.0,197.1,1109.4,134.5
nvjet_tst_64x8_64x16_1x4_h_bz_splitK_TNT,24,0,130.1,0,130.1
aten::_softmax,25,376.4,124.4,247.9,124.4
aten::cat,49,814.4,123.1,562.8,123.1
"void at::native::(anonymous namespace)::CatArrayBatchedCopy<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 3, 64, 64>(at::native::(anonymous namespace)::OpaqueType<2u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<2u>, unsigned int, 64, 64>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",48,0,123.1,0,123.1
"void at::native::reduce_kernel<128, 4, at::native::ReduceOp<c10::BFloat16, at::native::func_wrapper_t<c10::BFloat16, at::native::sum_functor<c10::BFloat16, float, c10::BFloat16>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, c10::BFloat16, 4, 4> >(at::native::ReduceOp<c10::BFloat16, at::native::func_wrapper_t<c10::BFloat16, at::native::sum_functor<c10::BFloat16, float, c10::BFloat16>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, c10::BFloat16, 4, 4>)",24,0,117.2,0,117.2
aten::fill_,98,664.6,115.6,289.6,115.6
"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::BFloat16>, std::array<char*, 1ul>)",98,0,115.6,0,115.6
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::BUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",48,0,99.8,0,99.8
Memcpy DtoD (Device -> Device),50,0,94.9,0,94.9
nvjet_tst_64x32_64x16_4x1_v_bz_NTT,24,0,76.9,0,76.9
"void at::native::vectorized_elementwise_kernel<8, at::native::(anonymous namespace)::pow_tensor_scalar_kernel_impl<c10::BFloat16, c10::BFloat16>(at::TensorIteratorBase&, c10::BFloat16)::{lambda(c10::BFloat16)#1}, std::array<char*, 2ul> >(int, at::native::(anonymous namespace)::pow_tensor_scalar_kernel_impl<c10::BFloat16, c10::BFloat16>(at::TensorIteratorBase&, c10::BFloat16)::{lambda(c10::BFloat16)#1}, std::array<char*, 2ul>)",49,0,71.7,0,71.7
"void at::native::vectorized_elementwise_kernel<8, at::native::BUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::BUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)",48,0,70.0,0,70.0
aten::rsqrt,49,692.9,68.5,474.6,68.5
"void at::native::vectorized_elementwise_kernel<8, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#3}::operator()() const::{lambda(c10::BFloat16)#1}, std::array<char*, 2ul> >(int, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#3}::operator()() const::{lambda(c10::BFloat16)#1}, std::array<char*, 2ul>)",49,0,68.5,0,68.5
"void at::native::vectorized_elementwise_kernel<8, at::native::CUDAFunctorOnSelf_add<c10::BFloat16>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<c10::BFloat16>, std::array<char*, 2ul>)",49,0,65.6,0,65.6
"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",1,0,65.6,0,65.6
aten::silu_backward,24,287.1,63.8,185.3,63.8
"void at::native::vectorized_elementwise_kernel<8, at::native::(anonymous namespace)::silu_backward_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(c10::BFloat16, c10::BFloat16)#1}, std::array<char*, 3ul> >(int, at::native::(anonymous namespace)::silu_backward_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(c10::BFloat16, c10::BFloat16)#1}, std::array<char*, 3ul>)",24,0,63.8,0,63.8
"void at::native::vectorized_elementwise_kernel<8, at::native::(anonymous namespace)::pow_tensor_scalar_kernel_impl<c10::BFloat16, c10::BFloat16>(at::TensorIteratorBase&, c10::BFloat16)::{lambda(c10::BFloat16)#2}, std::array<char*, 2ul> >(int, at::native::(anonymous namespace)::pow_tensor_scalar_kernel_impl<c10::BFloat16, c10::BFloat16>(at::TensorIteratorBase&, c10::BFloat16)::{lambda(c10::BFloat16)#2}, std::array<char*, 2ul>)",48,0,62.8,0,62.8
"void (anonymous namespace)::softmax_warp_forward<c10::BFloat16, c10::BFloat16, float, 6, false, false>(c10::BFloat16*, c10::BFloat16 const*, int, int, int, bool const*, int, bool)",24,0,58.8,0,58.8
aten::silu,24,279.8,51.3,176.1,51.3
"void at::native::vectorized_elementwise_kernel<8, at::native::(anonymous namespace)::silu_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#6}::operator()() const::{lambda(c10::BFloat16)#1}, std::array<char*, 2ul> >(int, at::native::(anonymous namespace)::silu_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()() const::{lambda()#6}::operator()() const::{lambda(c10::BFloat16)#1}, std::array<char*, 2ul>)",24,0,51.3,0,51.3
aten::_softmax_backward_data,24,538.1,71.0,213.8,36.4
"void (anonymous namespace)::softmax_warp_backward<c10::BFloat16, c10::BFloat16, float, 6, false, false>(c10::BFloat16*, c10::BFloat16 const*, c10::BFloat16 const*, int, int, int, bool const*)",24,0,36.4,0,36.4
"void at::native::vectorized_elementwise_kernel<8, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>)",1,0,18.1,0,18.1
aten::div_,1,30.7,13.2,14.4,13.2
"void at::native::vectorized_elementwise_kernel<4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)",1,0,13.2,0,13.2
aten::index,1,46.9,2.8,33.4,2.8
"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1})",1,0,2.8,0,2.8
aten::gather,1,83.7,2.2,40.0,2.2
"void at::native::vectorized_gather_kernel<16, long>(char*, char*, long*, int, long, long, long, long, bool)",1,0,2.2,0,2.2
aten::triu,1,30.4,2.2,20.8,2.2
"void at::native::triu_tril_kernel<c10::BFloat16, int, true, 4, false>(at::cuda::detail::TensorInfo<c10::BFloat16, int>, at::cuda::detail::TensorInfo<c10::BFloat16 const, int>, long, long, int)",1,0,2.2,0,2.2
aten::_index_put_impl_,1,23.5,2.2,12.7,2.2
"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<4> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<4> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<4> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<4> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1})",1,0,2.2,0,2.2
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul>)",1,0,1.5,0,1.5
aten::arange,6,108.1,2.0,38.5,1.0
"void (anonymous namespace)::elementwise_kernel_with_index<int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}, function_traits<at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>::result_type*)",1,0,1.0,0,1.0
Memset (Device),1,0,0.9,0,0.9
cudaDeviceSynchronize,7,74.4,0,74.4,0
Activity Buffer Request,1,326.4,0,326.4,0
aten::embedding,1,839.0,2.2,338.2,0.0
aten::index_select,1,500.9,2.2,363.3,0.0
aten::empty,245,836.9,0,836.9,0
aten::resize_,4,24.4,0,24.4,0
aten::view,342,491.9,0,491.9,0
aten::expand,313,707.2,0,596.6,0
aten::as_strided,3052,1909.0,0,1909.0,0
cudaLaunchKernel,3708,15079.3,0,15079.3,0
aten::to,632,9239.5,908.0,383.7,0.0
aten::_to_copy,487,8855.7,908.0,847.2,0.0
aten::empty_strided,489,1135.0,0,1135.0,0
aten::result_type,146,40.4,0,40.4,0
aten::reciprocal,1,6.5,0,6.5,0
aten::outer,1,23.5,0,5.8,0
aten::reshape,413,2692.9,243.6,694.5,0.0
aten::cos,1,191.8,0,191.8,0
aten::sin,1,32.8,0,32.8,0
cudaMemcpyAsync,292,3168.5,0,3168.5,0
cudaStreamSynchronize,242,790.2,0,790.2,0
aten::full,1,55.3,1.2,10.7,0.0
aten::t,2012,6096.9,0,2952.7,0
aten::transpose,2348,3832.4,0,2209.4,0
aten::matmul,553,13959.4,2622.1,802.9,0.0
cuLaunchKernelEx,1340,5682.5,0,5682.5,0
aten::slice,291,676.0,0,544.4,0
aten::repeat_interleave,48,1516.7,131.0,235.0,0.0
aten::unsqueeze,48,173.1,0,146.0,0
aten::clone,145,2323.4,398.2,347.7,0.0
aten::empty_like,145,680.2,0,182.1,0
aten::flatten,48,144.5,0,69.3,0
aten::_reshape_alias,96,145.1,0,145.1,0
cudaDeviceGetAttribute,144,59.2,0,59.2,0
cuLaunchKernel,144,574.0,0,574.0,0
aten::_unsafe_view,144,198.6,0,198.6,0
aten::softmax,25,416.1,124.4,39.6,0.0
cudaMemsetAsync,1,13.1,0,13.1,0
aten::index_put_,1,33.0,2.2,9.4,0.0
aten::zeros_like,1,25.5,5.4,4.4,0.0
aten::zero_,97,788.9,114.4,160.4,0.0
autograd::engine::evaluate_function: MmBackward0,502,24137.1,3788.8,3210.5,0.0
MmBackward0,502,19210.2,3403.8,2127.6,0.0
autograd::engine::evaluate_function: MulBackward0,336,7152.6,1156.4,1661.1,0.0
MulBackward0,336,4301.1,813.0,495.3,0.0
autograd::engine::evaluate_function: RsqrtBackward0,48,1919.3,187.7,208.7,0.0
RsqrtBackward0,48,1710.6,187.7,206.5,0.0
autograd::engine::evaluate_function: AddBackward0,405,1553.6,0,1374.6,0
AddBackward0,405,179.0,0,179.0,0
autograd::engine::evaluate_function: MeanBackward1,48,991.0,99.8,178.6,0.0
MeanBackward1,48,812.4,99.8,95.8,0.0
autograd::engine::evaluate_function: PowBackward0,48,2689.9,278.0,385.0,0.0
PowBackward0,48,1977.1,202.4,232.5,0.0
autograd::engine::evaluate_function: TBackward0,336,2296.6,0,1129.4,0
TBackward0,336,1167.2,0,365.3,0
autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,336,531.6,0,531.6,0
autograd::engine::evaluate_function: SiluBackward0,24,507.5,63.8,177.6,0.0
SiluBackward0,24,329.9,63.8,42.8,0.0
autograd::engine::evaluate_function: UnsafeViewBackward0,72,497.5,0,223.2,0
UnsafeViewBackward0,72,274.4,0,66.1,0
autograd::engine::evaluate_function: CloneBackward0,72,235.2,0,211.0,0
CloneBackward0,72,24.2,0,24.2,0
autograd::engine::evaluate_function: TransposeBackward0,120,699.1,0,385.7,0
TransposeBackward0,120,313.3,0,102.0,0
autograd::engine::evaluate_function: BmmBackward0,48,2274.5,310.8,321.0,0.0
BmmBackward0,48,1953.5,310.8,233.4,0.0
autograd::engine::evaluate_function: ViewBackward0,168,2148.3,181.9,573.6,0.0
ViewBackward0,168,1574.7,181.9,141.5,0.0
autograd::engine::evaluate_function: ExpandBackward0,144,1152.1,194.7,459.8,0.0
ExpandBackward0,144,692.3,194.7,100.6,0.0
autograd::engine::evaluate_function: SoftmaxBackward0,24,708.7,71.0,112.8,0.0
SoftmaxBackward0,24,595.9,71.0,57.8,0.0
autograd::engine::evaluate_function: DivBackward0,24,396.7,33.0,104.0,0.0
DivBackward0,24,292.7,33.0,37.2,0.0
autograd::engine::evaluate_function: ReshapeAliasBackward0,48,317.1,0,147.6,0
ReshapeAliasBackward0,48,169.6,0,39.9,0
autograd::engine::evaluate_function: UnsqueezeBackward0,48,360.3,0,208.4,0
UnsqueezeBackward0,48,152.0,0,52.8,0
aten::squeeze,48,99.1,0,84.3,0
autograd::engine::evaluate_function: CatBackward0,48,636.3,0,195.9,0
CatBackward0,48,440.4,0,110.2,0
aten::narrow,96,330.2,0,116.5,0
autograd::engine::evaluate_function: NegBackward0,48,752.5,118.8,209.8,0.0
NegBackward0,48,542.7,118.8,49.0,0.0
autograd::engine::evaluate_function: SliceBackward0,96,3307.4,400.4,460.3,0.0
SliceBackward0,96,2510.1,326.3,108.4,0.0
aten::slice_backward,96,2401.7,326.3,257.8,0.0
aten::zeros,96,1296.2,109.1,213.0,0.0
aten::detach,120,180.8,0,71.9,0
detach,120,108.9,0,108.9,0
aten::expand_as,120,217.1,0,63.2,0
