section,scope,metric,value
membership_linkability,true_rank_4,membership_auc_proxy,0.48744419642857145
membership_linkability,true_rank_4,linkability_rank,0.025111607142857095
membership_linkability,true_rank_4,risk_level,low
membership_linkability,true_rank_8,same_sample_distance_mean,70.47253900496659
membership_linkability,true_rank_8,different_sample_distance_mean,70.65636538113311
membership_linkability,true_rank_8,membership_auc_proxy,0.5047433035714286
membership_linkability,true_rank_8,linkability_rank,0.009486607142857206
membership_linkability,true_rank_8,risk_level,low
interpretation,summary,shape_level_summary,Rank padding hides true_rank from tensor shape; padded_rank remains visible.
interpretation,summary,spectral_inference_summary,"Across true_ranks=[2, 4, 8] with dummy_strategy='paired_cancellation_dummy', the spectral rank inference risk is **needs_more_evaluation**."
interpretation,summary,gradient_inference_summary,Gradient-side spectral inference risk under the same dummy strategy is **high**.
interpretation,summary,padded_rank_visibility_note,Padded rank r_pad is still visible from tensor shape; hiding it is out of Stage 7.2 scope.
interpretation,summary,merge_adapter_into_w,False
