section,attack,strategy,metric,value,notes
spectral_rank_inference,spectral,zero_dummy.true_rank_4,elbow_inference_accuracy,1.0,
spectral_rank_inference,spectral,zero_dummy.true_rank_4,ensemble_inference_accuracy,1.0,
spectral_rank_inference,spectral,zero_dummy.true_rank_4,confidence_gap_b,2.7545712157322966e-16,
spectral_rank_inference,spectral,zero_dummy.true_rank_4,risk_level,high,
spectral_rank_inference,spectral,zero_dummy.true_rank_8,inferred_rank_cliff_b_mean,8.0,
spectral_rank_inference,spectral,zero_dummy.true_rank_8,inferred_rank_energy_b_mean,7.875,
spectral_rank_inference,spectral,zero_dummy.true_rank_8,inferred_rank_elbow_b_mean,8.0,
spectral_rank_inference,spectral,zero_dummy.true_rank_8,cliff_inference_accuracy,1.0,
spectral_rank_inference,spectral,zero_dummy.true_rank_8,energy_inference_accuracy,0.875,
spectral_rank_inference,spectral,zero_dummy.true_rank_8,elbow_inference_accuracy,1.0,
spectral_rank_inference,spectral,zero_dummy.true_rank_8,ensemble_inference_accuracy,1.0,
spectral_rank_inference,spectral,zero_dummy.true_rank_8,confidence_gap_b,6.051109219441164e-16,
spectral_rank_inference,spectral,zero_dummy.true_rank_8,risk_level,high,
spectral_rank_inference,spectral,paired_cancellation_dummy.true_rank_2,inferred_rank_cliff_b_mean,9.0,
spectral_rank_inference,spectral,paired_cancellation_dummy.true_rank_2,inferred_rank_energy_b_mean,7.0,
spectral_rank_inference,spectral,paired_cancellation_dummy.true_rank_2,inferred_rank_elbow_b_mean,9.0,
spectral_rank_inference,spectral,paired_cancellation_dummy.true_rank_2,cliff_inference_accuracy,0.0,
spectral_rank_inference,spectral,paired_cancellation_dummy.true_rank_2,energy_inference_accuracy,0.0,
spectral_rank_inference,spectral,paired_cancellation_dummy.true_rank_2,elbow_inference_accuracy,0.0,
spectral_rank_inference,spectral,paired_cancellation_dummy.true_rank_2,ensemble_inference_accuracy,0.0,
spectral_rank_inference,spectral,paired_cancellation_dummy.true_rank_2,confidence_gap_b,5.408840845951325e-15,
spectral_rank_inference,spectral,paired_cancellation_dummy.true_rank_2,risk_level,needs_more_evaluation,
spectral_rank_inference,spectral,paired_cancellation_dummy.true_rank_4,inferred_rank_cliff_b_mean,10.0,
spectral_rank_inference,spectral,paired_cancellation_dummy.true_rank_4,inferred_rank_energy_b_mean,6.0,
spectral_rank_inference,spectral,paired_cancellation_dummy.true_rank_4,inferred_rank_elbow_b_mean,10.0,
spectral_rank_inference,spectral,paired_cancellation_dummy.true_rank_4,cliff_inference_accuracy,0.0,
spectral_rank_inference,spectral,paired_cancellation_dummy.true_rank_4,energy_inference_accuracy,0.0,
spectral_rank_inference,spectral,paired_cancellation_dummy.true_rank_4,elbow_inference_accuracy,0.0,
spectral_rank_inference,spectral,paired_cancellation_dummy.true_rank_4,ensemble_inference_accuracy,0.0,
spectral_rank_inference,spectral,paired_cancellation_dummy.true_rank_4,confidence_gap_b,6.780169515716895e-15,
spectral_rank_inference,spectral,paired_cancellation_dummy.true_rank_4,risk_level,needs_more_evaluation,
spectral_rank_inference,spectral,paired_cancellation_dummy.true_rank_8,inferred_rank_cliff_b_mean,12.0,
spectral_rank_inference,spectral,paired_cancellation_dummy.true_rank_8,inferred_rank_energy_b_mean,4.125,
spectral_rank_inference,spectral,paired_cancellation_dummy.true_rank_8,inferred_rank_elbow_b_mean,12.0,
spectral_rank_inference,spectral,paired_cancellation_dummy.true_rank_8,cliff_inference_accuracy,0.0,
spectral_rank_inference,spectral,paired_cancellation_dummy.true_rank_8,energy_inference_accuracy,0.0,
spectral_rank_inference,spectral,paired_cancellation_dummy.true_rank_8,elbow_inference_accuracy,0.0,
spectral_rank_inference,spectral,paired_cancellation_dummy.true_rank_8,ensemble_inference_accuracy,0.0,
spectral_rank_inference,spectral,paired_cancellation_dummy.true_rank_8,confidence_gap_b,5.94286895294045e-15,
spectral_rank_inference,spectral,paired_cancellation_dummy.true_rank_8,risk_level,needs_more_evaluation,
spectral_rank_inference,spectral,gaussian_matched_dummy.true_rank_2,inferred_rank_cliff_b_mean,9.0,
spectral_rank_inference,spectral,gaussian_matched_dummy.true_rank_2,inferred_rank_energy_b_mean,8.375,
spectral_rank_inference,spectral,gaussian_matched_dummy.true_rank_2,inferred_rank_elbow_b_mean,9.0,
spectral_rank_inference,spectral,gaussian_matched_dummy.true_rank_2,cliff_inference_accuracy,0.0,
spectral_rank_inference,spectral,gaussian_matched_dummy.true_rank_2,energy_inference_accuracy,0.0,
spectral_rank_inference,spectral,gaussian_matched_dummy.true_rank_2,elbow_inference_accuracy,0.0,
spectral_rank_inference,spectral,gaussian_matched_dummy.true_rank_2,ensemble_inference_accuracy,0.0,
spectral_rank_inference,spectral,gaussian_matched_dummy.true_rank_2,confidence_gap_b,9.459727413682287e-16,
spectral_rank_inference,spectral,gaussian_matched_dummy.true_rank_2,risk_level,needs_more_evaluation,
spectral_rank_inference,spectral,gaussian_matched_dummy.true_rank_4,inferred_rank_cliff_b_mean,10.0,
spectral_rank_inference,spectral,gaussian_matched_dummy.true_rank_4,inferred_rank_energy_b_mean,9.083333333333334,
spectral_rank_inference,spectral,gaussian_matched_dummy.true_rank_4,inferred_rank_elbow_b_mean,10.0,
spectral_rank_inference,spectral,gaussian_matched_dummy.true_rank_4,cliff_inference_accuracy,0.0,
spectral_rank_inference,spectral,gaussian_matched_dummy.true_rank_4,energy_inference_accuracy,0.0,
spectral_rank_inference,spectral,gaussian_matched_dummy.true_rank_4,elbow_inference_accuracy,0.0,
spectral_rank_inference,spectral,gaussian_matched_dummy.true_rank_4,ensemble_inference_accuracy,0.0,
spectral_rank_inference,spectral,gaussian_matched_dummy.true_rank_4,confidence_gap_b,9.440269784209088e-16,
spectral_rank_inference,spectral,gaussian_matched_dummy.true_rank_4,risk_level,needs_more_evaluation,
spectral_rank_inference,spectral,gaussian_matched_dummy.true_rank_8,inferred_rank_cliff_b_mean,12.0,
spectral_rank_inference,spectral,gaussian_matched_dummy.true_rank_8,inferred_rank_energy_b_mean,10.458333333333334,
spectral_rank_inference,spectral,gaussian_matched_dummy.true_rank_8,inferred_rank_elbow_b_mean,12.0,
spectral_rank_inference,spectral,gaussian_matched_dummy.true_rank_8,cliff_inference_accuracy,0.0,
spectral_rank_inference,spectral,gaussian_matched_dummy.true_rank_8,energy_inference_accuracy,0.0,
spectral_rank_inference,spectral,gaussian_matched_dummy.true_rank_8,elbow_inference_accuracy,0.0,
spectral_rank_inference,spectral,gaussian_matched_dummy.true_rank_8,ensemble_inference_accuracy,0.0,
spectral_rank_inference,spectral,gaussian_matched_dummy.true_rank_8,confidence_gap_b,1.3392175470030677e-15,
spectral_rank_inference,spectral,gaussian_matched_dummy.true_rank_8,risk_level,needs_more_evaluation,
spectral_rank_inference,spectral,spectrum_matched_dummy.true_rank_2,inferred_rank_cliff_b_mean,9.0,
spectral_rank_inference,spectral,spectrum_matched_dummy.true_rank_2,inferred_rank_energy_b_mean,8.541666666666666,
spectral_rank_inference,spectral,spectrum_matched_dummy.true_rank_2,inferred_rank_elbow_b_mean,9.0,
spectral_rank_inference,spectral,spectrum_matched_dummy.true_rank_2,cliff_inference_accuracy,0.0,
spectral_rank_inference,spectral,spectrum_matched_dummy.true_rank_2,energy_inference_accuracy,0.0,
spectral_rank_inference,spectral,spectrum_matched_dummy.true_rank_2,elbow_inference_accuracy,0.0,
spectral_rank_inference,spectral,spectrum_matched_dummy.true_rank_2,ensemble_inference_accuracy,0.0,
spectral_rank_inference,spectral,spectrum_matched_dummy.true_rank_2,confidence_gap_b,7.685798859187952e-16,
spectral_rank_inference,spectral,spectrum_matched_dummy.true_rank_2,risk_level,needs_more_evaluation,
spectral_rank_inference,spectral,spectrum_matched_dummy.true_rank_4,inferred_rank_cliff_b_mean,10.0,
spectral_rank_inference,spectral,spectrum_matched_dummy.true_rank_4,inferred_rank_energy_b_mean,9.166666666666666,
spectral_rank_inference,spectral,spectrum_matched_dummy.true_rank_4,inferred_rank_elbow_b_mean,10.0,
spectral_rank_inference,spectral,spectrum_matched_dummy.true_rank_4,cliff_inference_accuracy,0.0,
spectral_rank_inference,spectral,spectrum_matched_dummy.true_rank_4,energy_inference_accuracy,0.0,
spectral_rank_inference,spectral,spectrum_matched_dummy.true_rank_4,elbow_inference_accuracy,0.0,
spectral_rank_inference,spectral,spectrum_matched_dummy.true_rank_4,ensemble_inference_accuracy,0.0,
spectral_rank_inference,spectral,spectrum_matched_dummy.true_rank_4,confidence_gap_b,9.574652099667117e-16,
spectral_rank_inference,spectral,spectrum_matched_dummy.true_rank_4,risk_level,needs_more_evaluation,
spectral_rank_inference,spectral,spectrum_matched_dummy.true_rank_8,inferred_rank_cliff_b_mean,12.0,
spectral_rank_inference,spectral,spectrum_matched_dummy.true_rank_8,inferred_rank_energy_b_mean,10.416666666666666,
spectral_rank_inference,spectral,spectrum_matched_dummy.true_rank_8,inferred_rank_elbow_b_mean,12.0,
spectral_rank_inference,spectral,spectrum_matched_dummy.true_rank_8,cliff_inference_accuracy,0.0,
spectral_rank_inference,spectral,spectrum_matched_dummy.true_rank_8,energy_inference_accuracy,0.0,
spectral_rank_inference,spectral,spectrum_matched_dummy.true_rank_8,elbow_inference_accuracy,0.0,
spectral_rank_inference,spectral,spectrum_matched_dummy.true_rank_8,ensemble_inference_accuracy,0.0,
spectral_rank_inference,spectral,spectrum_matched_dummy.true_rank_8,confidence_gap_b,1.573324755977232e-15,
spectral_rank_inference,spectral,spectrum_matched_dummy.true_rank_8,risk_level,needs_more_evaluation,
spectral_rank_inference,spectral,noise_injected_cancellation_dummy.true_rank_2,inferred_rank_cliff_b_mean,9.25,
spectral_rank_inference,spectral,noise_injected_cancellation_dummy.true_rank_2,inferred_rank_energy_b_mean,6.958333333333333,
spectral_rank_inference,spectral,noise_injected_cancellation_dummy.true_rank_2,inferred_rank_elbow_b_mean,9.25,
spectral_rank_inference,spectral,noise_injected_cancellation_dummy.true_rank_2,cliff_inference_accuracy,0.0,
spectral_rank_inference,spectral,noise_injected_cancellation_dummy.true_rank_2,energy_inference_accuracy,0.0,
spectral_rank_inference,spectral,noise_injected_cancellation_dummy.true_rank_2,elbow_inference_accuracy,0.0,
spectral_rank_inference,spectral,noise_injected_cancellation_dummy.true_rank_2,ensemble_inference_accuracy,0.0,
spectral_rank_inference,spectral,noise_injected_cancellation_dummy.true_rank_2,confidence_gap_b,0.02100178230596682,
spectral_rank_inference,spectral,noise_injected_cancellation_dummy.true_rank_2,risk_level,needs_more_evaluation,
spectral_rank_inference,spectral,noise_injected_cancellation_dummy.true_rank_4,inferred_rank_cliff_b_mean,10.0,
spectral_rank_inference,spectral,noise_injected_cancellation_dummy.true_rank_4,inferred_rank_energy_b_mean,6.0,
spectral_rank_inference,spectral,noise_injected_cancellation_dummy.true_rank_4,inferred_rank_elbow_b_mean,10.208333333333334,
spectral_rank_inference,spectral,noise_injected_cancellation_dummy.true_rank_4,cliff_inference_accuracy,0.0,
spectral_rank_inference,spectral,noise_injected_cancellation_dummy.true_rank_4,energy_inference_accuracy,0.0,
spectral_rank_inference,spectral,noise_injected_cancellation_dummy.true_rank_4,elbow_inference_accuracy,0.0,
spectral_rank_inference,spectral,noise_injected_cancellation_dummy.true_rank_4,ensemble_inference_accuracy,0.0,
spectral_rank_inference,spectral,noise_injected_cancellation_dummy.true_rank_4,confidence_gap_b,0.02789514837606737,
spectral_rank_inference,spectral,noise_injected_cancellation_dummy.true_rank_4,risk_level,needs_more_evaluation,
spectral_rank_inference,spectral,noise_injected_cancellation_dummy.true_rank_8,inferred_rank_cliff_b_mean,12.125,
spectral_rank_inference,spectral,noise_injected_cancellation_dummy.true_rank_8,inferred_rank_energy_b_mean,4.166666666666667,
spectral_rank_inference,spectral,noise_injected_cancellation_dummy.true_rank_8,inferred_rank_elbow_b_mean,12.25,
spectral_rank_inference,spectral,noise_injected_cancellation_dummy.true_rank_8,cliff_inference_accuracy,0.0,
spectral_rank_inference,spectral,noise_injected_cancellation_dummy.true_rank_8,energy_inference_accuracy,0.0,
spectral_rank_inference,spectral,noise_injected_cancellation_dummy.true_rank_8,elbow_inference_accuracy,0.0,
spectral_rank_inference,spectral,noise_injected_cancellation_dummy.true_rank_8,ensemble_inference_accuracy,0.0,
spectral_rank_inference,spectral,noise_injected_cancellation_dummy.true_rank_8,confidence_gap_b,0.03302344923462842,
spectral_rank_inference,spectral,noise_injected_cancellation_dummy.true_rank_8,risk_level,needs_more_evaluation,
spectral_rank_inference,spectral,orthogonalized_cancellation_dummy.true_rank_2,inferred_rank_cliff_b_mean,9.0,
spectral_rank_inference,spectral,orthogonalized_cancellation_dummy.true_rank_2,inferred_rank_energy_b_mean,6.916666666666667,
spectral_rank_inference,spectral,orthogonalized_cancellation_dummy.true_rank_2,inferred_rank_elbow_b_mean,9.0,
spectral_rank_inference,spectral,orthogonalized_cancellation_dummy.true_rank_2,cliff_inference_accuracy,0.0,
spectral_rank_inference,spectral,orthogonalized_cancellation_dummy.true_rank_2,energy_inference_accuracy,0.0,
spectral_rank_inference,spectral,orthogonalized_cancellation_dummy.true_rank_2,elbow_inference_accuracy,0.0,
spectral_rank_inference,spectral,orthogonalized_cancellation_dummy.true_rank_2,ensemble_inference_accuracy,0.0,
spectral_rank_inference,spectral,orthogonalized_cancellation_dummy.true_rank_2,confidence_gap_b,3.4082770499904126e-15,
spectral_rank_inference,spectral,orthogonalized_cancellation_dummy.true_rank_2,risk_level,needs_more_evaluation,
spectral_rank_inference,spectral,orthogonalized_cancellation_dummy.true_rank_4,inferred_rank_cliff_b_mean,10.0,
spectral_rank_inference,spectral,orthogonalized_cancellation_dummy.true_rank_4,inferred_rank_energy_b_mean,6.0,
spectral_rank_inference,spectral,orthogonalized_cancellation_dummy.true_rank_4,inferred_rank_elbow_b_mean,10.0,
spectral_rank_inference,spectral,orthogonalized_cancellation_dummy.true_rank_4,cliff_inference_accuracy,0.0,
spectral_rank_inference,spectral,orthogonalized_cancellation_dummy.true_rank_4,energy_inference_accuracy,0.0,
spectral_rank_inference,spectral,orthogonalized_cancellation_dummy.true_rank_4,elbow_inference_accuracy,0.0,
spectral_rank_inference,spectral,orthogonalized_cancellation_dummy.true_rank_4,ensemble_inference_accuracy,0.0,
spectral_rank_inference,spectral,orthogonalized_cancellation_dummy.true_rank_4,confidence_gap_b,2.71396749775142e-15,
spectral_rank_inference,spectral,orthogonalized_cancellation_dummy.true_rank_4,risk_level,needs_more_evaluation,
spectral_rank_inference,spectral,orthogonalized_cancellation_dummy.true_rank_8,inferred_rank_cliff_b_mean,12.0,
spectral_rank_inference,spectral,orthogonalized_cancellation_dummy.true_rank_8,inferred_rank_energy_b_mean,6.625,
spectral_rank_inference,spectral,orthogonalized_cancellation_dummy.true_rank_8,inferred_rank_elbow_b_mean,12.0,
spectral_rank_inference,spectral,orthogonalized_cancellation_dummy.true_rank_8,cliff_inference_accuracy,0.0,
spectral_rank_inference,spectral,orthogonalized_cancellation_dummy.true_rank_8,energy_inference_accuracy,0.16666666666666666,
spectral_rank_inference,spectral,orthogonalized_cancellation_dummy.true_rank_8,elbow_inference_accuracy,0.0,
spectral_rank_inference,spectral,orthogonalized_cancellation_dummy.true_rank_8,ensemble_inference_accuracy,0.0,
spectral_rank_inference,spectral,orthogonalized_cancellation_dummy.true_rank_8,confidence_gap_b,2.457398909502006e-15,
spectral_rank_inference,spectral,orthogonalized_cancellation_dummy.true_rank_8,risk_level,needs_more_evaluation,
spectral_rank_inference,spectral,mixed_dummy_ensemble.true_rank_2,inferred_rank_cliff_b_mean,9.0,
spectral_rank_inference,spectral,mixed_dummy_ensemble.true_rank_2,inferred_rank_energy_b_mean,4.375,
spectral_rank_inference,spectral,mixed_dummy_ensemble.true_rank_2,inferred_rank_elbow_b_mean,9.0,
spectral_rank_inference,spectral,mixed_dummy_ensemble.true_rank_2,cliff_inference_accuracy,0.0,
spectral_rank_inference,spectral,mixed_dummy_ensemble.true_rank_2,energy_inference_accuracy,0.0,
spectral_rank_inference,spectral,mixed_dummy_ensemble.true_rank_2,elbow_inference_accuracy,0.0,
spectral_rank_inference,spectral,mixed_dummy_ensemble.true_rank_2,ensemble_inference_accuracy,0.0,
spectral_rank_inference,spectral,mixed_dummy_ensemble.true_rank_2,confidence_gap_b,3.927110312587679e-15,
spectral_rank_inference,spectral,mixed_dummy_ensemble.true_rank_2,risk_level,needs_more_evaluation,
spectral_rank_inference,spectral,mixed_dummy_ensemble.true_rank_4,inferred_rank_cliff_b_mean,10.0,
spectral_rank_inference,spectral,mixed_dummy_ensemble.true_rank_4,inferred_rank_energy_b_mean,5.0,
spectral_rank_inference,spectral,mixed_dummy_ensemble.true_rank_4,inferred_rank_elbow_b_mean,10.0,
spectral_rank_inference,spectral,mixed_dummy_ensemble.true_rank_4,cliff_inference_accuracy,0.0,
spectral_rank_inference,spectral,mixed_dummy_ensemble.true_rank_4,energy_inference_accuracy,0.4166666666666667,
spectral_rank_inference,spectral,mixed_dummy_ensemble.true_rank_4,elbow_inference_accuracy,0.0,
spectral_rank_inference,spectral,mixed_dummy_ensemble.true_rank_4,ensemble_inference_accuracy,0.0,
spectral_rank_inference,spectral,mixed_dummy_ensemble.true_rank_4,confidence_gap_b,3.158011490960949e-15,
spectral_rank_inference,spectral,mixed_dummy_ensemble.true_rank_4,risk_level,needs_more_evaluation,
spectral_rank_inference,spectral,mixed_dummy_ensemble.true_rank_8,inferred_rank_cliff_b_mean,12.0,
spectral_rank_inference,spectral,mixed_dummy_ensemble.true_rank_8,inferred_rank_energy_b_mean,7.375,
spectral_rank_inference,spectral,mixed_dummy_ensemble.true_rank_8,inferred_rank_elbow_b_mean,12.0,
spectral_rank_inference,spectral,mixed_dummy_ensemble.true_rank_8,cliff_inference_accuracy,0.0,
spectral_rank_inference,spectral,mixed_dummy_ensemble.true_rank_8,energy_inference_accuracy,0.16666666666666666,
spectral_rank_inference,spectral,mixed_dummy_ensemble.true_rank_8,elbow_inference_accuracy,0.0,
spectral_rank_inference,spectral,mixed_dummy_ensemble.true_rank_8,ensemble_inference_accuracy,0.0,
spectral_rank_inference,spectral,mixed_dummy_ensemble.true_rank_8,confidence_gap_b,2.6423834477063616e-15,
spectral_rank_inference,spectral,mixed_dummy_ensemble.true_rank_8,risk_level,needs_more_evaluation,
gradient_rank_inference,gradient,zero_dummy.true_rank_2,inferred_rank_grad_a_cliff_mean,2.0,
gradient_rank_inference,gradient,zero_dummy.true_rank_2,inferred_rank_grad_b_cliff_mean,8.0,
gradient_rank_inference,gradient,zero_dummy.true_rank_2,grad_a_cliff_accuracy,1.0,
gradient_rank_inference,gradient,zero_dummy.true_rank_2,grad_b_cliff_accuracy,0.0,
gradient_rank_inference,gradient,zero_dummy.true_rank_2,gradient_rank_inference_accuracy,0.0,
gradient_rank_inference,gradient,zero_dummy.true_rank_2,risk_level,high,
gradient_rank_inference,gradient,zero_dummy.true_rank_4,inferred_rank_grad_a_cliff_mean,4.0,
gradient_rank_inference,gradient,zero_dummy.true_rank_4,inferred_rank_grad_b_cliff_mean,8.0,
gradient_rank_inference,gradient,zero_dummy.true_rank_4,grad_a_cliff_accuracy,1.0,
gradient_rank_inference,gradient,zero_dummy.true_rank_4,grad_b_cliff_accuracy,0.0,
gradient_rank_inference,gradient,zero_dummy.true_rank_4,gradient_rank_inference_accuracy,0.0,
gradient_rank_inference,gradient,zero_dummy.true_rank_4,risk_level,high,
gradient_rank_inference,gradient,zero_dummy.true_rank_8,inferred_rank_grad_a_cliff_mean,8.0,
gradient_rank_inference,gradient,zero_dummy.true_rank_8,inferred_rank_grad_b_cliff_mean,8.0,
gradient_rank_inference,gradient,zero_dummy.true_rank_8,grad_a_cliff_accuracy,1.0,
gradient_rank_inference,gradient,zero_dummy.true_rank_8,grad_b_cliff_accuracy,1.0,
gradient_rank_inference,gradient,zero_dummy.true_rank_8,gradient_rank_inference_accuracy,1.0,
gradient_rank_inference,gradient,zero_dummy.true_rank_8,risk_level,high,
gradient_rank_inference,gradient,paired_cancellation_dummy.true_rank_2,inferred_rank_grad_a_cliff_mean,8.0,
gradient_rank_inference,gradient,paired_cancellation_dummy.true_rank_2,inferred_rank_grad_b_cliff_mean,8.0,
gradient_rank_inference,gradient,paired_cancellation_dummy.true_rank_2,grad_a_cliff_accuracy,0.0,
gradient_rank_inference,gradient,paired_cancellation_dummy.true_rank_2,grad_b_cliff_accuracy,0.0,
gradient_rank_inference,gradient,paired_cancellation_dummy.true_rank_2,gradient_rank_inference_accuracy,0.0,
gradient_rank_inference,gradient,paired_cancellation_dummy.true_rank_2,risk_level,needs_more_evaluation,
gradient_rank_inference,gradient,paired_cancellation_dummy.true_rank_4,inferred_rank_grad_a_cliff_mean,8.0,
gradient_rank_inference,gradient,paired_cancellation_dummy.true_rank_4,inferred_rank_grad_b_cliff_mean,8.0,
gradient_rank_inference,gradient,paired_cancellation_dummy.true_rank_4,grad_a_cliff_accuracy,0.0,
gradient_rank_inference,gradient,paired_cancellation_dummy.true_rank_4,grad_b_cliff_accuracy,0.0,
gradient_rank_inference,gradient,paired_cancellation_dummy.true_rank_4,gradient_rank_inference_accuracy,0.0,
gradient_rank_inference,gradient,paired_cancellation_dummy.true_rank_4,risk_level,needs_more_evaluation,
gradient_rank_inference,gradient,paired_cancellation_dummy.true_rank_8,inferred_rank_grad_a_cliff_mean,8.0,
gradient_rank_inference,gradient,paired_cancellation_dummy.true_rank_8,inferred_rank_grad_b_cliff_mean,8.0,
gradient_rank_inference,gradient,paired_cancellation_dummy.true_rank_8,grad_a_cliff_accuracy,1.0,
gradient_rank_inference,gradient,paired_cancellation_dummy.true_rank_8,grad_b_cliff_accuracy,1.0,
gradient_rank_inference,gradient,paired_cancellation_dummy.true_rank_8,gradient_rank_inference_accuracy,1.0,
gradient_rank_inference,gradient,paired_cancellation_dummy.true_rank_8,risk_level,high,
gradient_rank_inference,gradient,gaussian_matched_dummy.true_rank_2,inferred_rank_grad_a_cliff_mean,8.0,
gradient_rank_inference,gradient,gaussian_matched_dummy.true_rank_2,inferred_rank_grad_b_cliff_mean,8.0,
gradient_rank_inference,gradient,gaussian_matched_dummy.true_rank_2,grad_a_cliff_accuracy,0.0,
gradient_rank_inference,gradient,gaussian_matched_dummy.true_rank_2,grad_b_cliff_accuracy,0.0,
gradient_rank_inference,gradient,gaussian_matched_dummy.true_rank_2,gradient_rank_inference_accuracy,0.0,
gradient_rank_inference,gradient,gaussian_matched_dummy.true_rank_2,risk_level,needs_more_evaluation,
gradient_rank_inference,gradient,gaussian_matched_dummy.true_rank_4,inferred_rank_grad_a_cliff_mean,8.0,
gradient_rank_inference,gradient,gaussian_matched_dummy.true_rank_4,inferred_rank_grad_b_cliff_mean,8.0,
gradient_rank_inference,gradient,gaussian_matched_dummy.true_rank_4,grad_a_cliff_accuracy,0.0,
gradient_rank_inference,gradient,gaussian_matched_dummy.true_rank_4,grad_b_cliff_accuracy,0.0,
gradient_rank_inference,gradient,gaussian_matched_dummy.true_rank_4,gradient_rank_inference_accuracy,0.0,
gradient_rank_inference,gradient,gaussian_matched_dummy.true_rank_4,risk_level,needs_more_evaluation,
gradient_rank_inference,gradient,gaussian_matched_dummy.true_rank_8,inferred_rank_grad_a_cliff_mean,8.0,
gradient_rank_inference,gradient,gaussian_matched_dummy.true_rank_8,inferred_rank_grad_b_cliff_mean,8.0,
gradient_rank_inference,gradient,gaussian_matched_dummy.true_rank_8,grad_a_cliff_accuracy,1.0,
gradient_rank_inference,gradient,gaussian_matched_dummy.true_rank_8,grad_b_cliff_accuracy,1.0,
gradient_rank_inference,gradient,gaussian_matched_dummy.true_rank_8,gradient_rank_inference_accuracy,1.0,
gradient_rank_inference,gradient,gaussian_matched_dummy.true_rank_8,risk_level,high,
gradient_rank_inference,gradient,spectrum_matched_dummy.true_rank_2,inferred_rank_grad_a_cliff_mean,8.0,
gradient_rank_inference,gradient,spectrum_matched_dummy.true_rank_2,inferred_rank_grad_b_cliff_mean,8.0,
gradient_rank_inference,gradient,spectrum_matched_dummy.true_rank_2,grad_a_cliff_accuracy,0.0,
gradient_rank_inference,gradient,spectrum_matched_dummy.true_rank_2,grad_b_cliff_accuracy,0.0,
gradient_rank_inference,gradient,spectrum_matched_dummy.true_rank_2,gradient_rank_inference_accuracy,0.0,
gradient_rank_inference,gradient,spectrum_matched_dummy.true_rank_2,risk_level,needs_more_evaluation,
gradient_rank_inference,gradient,spectrum_matched_dummy.true_rank_4,inferred_rank_grad_a_cliff_mean,8.0,
gradient_rank_inference,gradient,spectrum_matched_dummy.true_rank_4,inferred_rank_grad_b_cliff_mean,8.0,
gradient_rank_inference,gradient,spectrum_matched_dummy.true_rank_4,grad_a_cliff_accuracy,0.0,
gradient_rank_inference,gradient,spectrum_matched_dummy.true_rank_4,grad_b_cliff_accuracy,0.0,
gradient_rank_inference,gradient,spectrum_matched_dummy.true_rank_4,gradient_rank_inference_accuracy,0.0,
gradient_rank_inference,gradient,spectrum_matched_dummy.true_rank_4,risk_level,needs_more_evaluation,
gradient_rank_inference,gradient,spectrum_matched_dummy.true_rank_8,inferred_rank_grad_a_cliff_mean,8.0,
gradient_rank_inference,gradient,spectrum_matched_dummy.true_rank_8,inferred_rank_grad_b_cliff_mean,8.0,
gradient_rank_inference,gradient,spectrum_matched_dummy.true_rank_8,grad_a_cliff_accuracy,1.0,
gradient_rank_inference,gradient,spectrum_matched_dummy.true_rank_8,grad_b_cliff_accuracy,1.0,
gradient_rank_inference,gradient,spectrum_matched_dummy.true_rank_8,gradient_rank_inference_accuracy,1.0,
